,sell_reason,buy_time,buy_price,sell_time,sell_price,max_price,profit,real_profit
0,important position stop loss 11952.547,2023/03/01 16:35,11976.5,2023/03/01 19:58,11952.0,11991.75,-0.20456727758527116,-51.8
1,retrace from max 26.464285714285715,2023/03/03 03:10,12047.25,2023/03/03 07:22,12094.5,12125.0,0.3922056900952499,91.7
2,important position stop loss 12167.0,2023/03/08 10:35,12217.0,2023/03/08 13:18,12160.25,12254.5,-0.46451665711713186,-116.3
3,important position stop loss 12789.6195,2023/03/28 02:10,12815.25,2023/03/28 03:22,12786.75,12833.5,-0.22239129162521218,-59.8
4,retrace from max 42.160714285714285,2023/03/31 08:40,13113.0,2023/03/31 15:46,13261.5,13304.25,1.1324639670555936,294.2
5,important position stop loss 13179.5,2023/04/12 08:35,13229.5,2023/04/12 08:47,13178.0,13241.0,-0.3892815299142069,-105.8
6,retrace from max 29.035714285714285,2023/04/13 08:40,12995.5,2023/04/13 16:31,13198.75,13228.5,1.5640029240891078,403.7
7,important position stop loss 13161.5,2023/04/14 09:45,13211.5,2023/04/14 10:20,13158.0,13255.0,-0.4049502327517693,-109.8
8,retrace from max 21.910714285714285,2023/04/14 14:30,13152.75,2023/04/16 18:30,13192.25,13214.75,0.30031742411282814,76.2
9,retrace from max 23.892857142857142,2023/04/24 05:15,13048.0,2023/04/24 06:26,13057.75,13083.0,0.07472409564684243,16.7
10,retrace from max 34.23214285714286,2023/04/25 16:20,12901.0,2023/04/25 19:16,12956.5,12993.0,0.4301992093636152,108.2
11,important position stop loss 13284.877,2023/05/01 10:00,13311.5,2023/05/01 10:26,13284.25,13317.75,-0.2047102129737445,-57.3
12,retrace from max 19.607142857142858,2023/05/01 21:40,13302.75,2023/05/02 03:19,13313.0,13334.5,0.07705173742271335,17.7
13,ma60 dead cross,2023/05/12 15:40,13375.75,2023/05/14 21:22,13380.0,13402.5,0.03177391921948302,5.7
14,retrace from max 37.55357142857143,2023/05/16 09:50,13503.75,2023/05/16 14:09,13515.5,13554.25,0.08701286679626029,20.7
15,important position stop loss 14340.5115,2023/05/31 06:50,14369.25,2023/05/31 07:46,14339.0,14381.75,-0.21051899020477757,-63.3
16,important position stop loss 14334.75,2023/05/31 09:45,14384.75,2023/05/31 10:14,14333.5,14412.25,-0.35628008828794383,-105.3
17,ma60 dead cross,2023/06/01 10:10,14319.25,2023/06/01 10:41,14331.5,14335.75,0.08554917331564153,21.7
18,important position stop loss 14568.75,2023/06/02 09:35,14618.75,2023/06/02 09:47,14554.75,14627.75,-0.4377939290294998,-130.8
19,important position stop loss 15049.75,2023/06/13 08:45,15099.75,2023/06/13 09:47,15048.75,15151.75,-0.3377539363234491,-104.8
20,retrace from max 59.46428571428572,2023/06/22 09:45,15048.25,2023/06/22 12:55,15117.25,15180.75,0.4585250776668383,135.2
21,retrace from max 73.125,2023/06/28 09:40,15077.0,2023/06/28 12:29,15137.5,15218.75,0.4012734628904955,118.2
22,retrace from max 39.589285714285715,2023/07/25 09:46,15646.75,2023/07/25 14:59,15693.25,15736.0,0.29718631664722706,90.2
23,ma60 dead cross,2023/07/27 11:46,15809.25,2023/07/27 12:17,15833.25,15839.75,0.1518098581526638,45.2
24,retrace from max 51.32142857142857,2023/08/03 10:56,15392.0,2023/08/03 13:46,15465.0,15523.75,0.4742723492723493,143.2
25,important position stop loss 15461.0,2023/08/03 16:16,15511.0,2023/08/03 16:43,15454.0,15552.25,-0.36748114241506025,-116.8
26,retrace from max 20.30357142857143,2023/08/22 20:16,14983.5,2023/08/22 22:53,15006.5,15029.25,0.15350218573764476,43.2
27,retrace from max 60.267857142857146,2023/08/31 09:36,15518.0,2023/08/31 12:19,15537.5,15606.75,0.12566052326330712,36.2
28,ma60 dead cross,2023/09/05 08:56,15487.5,2023/09/05 10:12,15490.5,15506.5,0.019370460048426148,3.2
29,important position stop loss 14896.5,2023/10/02 09:46,14946.5,2023/10/02 12:10,14895.0,15046.25,-0.34456227210383705,-105.8
30,important position stop loss 14999.5,2023/10/09 09:51,15049.5,2023/10/09 10:05,14993.5,15067.0,-0.3721053855609821,-114.8
31,retrace from max 85.5,2023/10/24 09:46,14785.5,2023/10/24 11:33,14790.25,14877.75,0.03212606945994387,6.7
32,important position stop loss 14366.75,2023/10/30 09:41,14416.75,2023/10/30 10:19,14358.5,14476.25,-0.4040439072606517,-119.3
33,important position stop loss 15193.8015,2023/11/06 12:01,15224.25,2023/11/06 12:47,15191.75,15224.25,-0.21347521224362448,-67.8
34,ma60 dead cross,2023/11/08 03:21,15355.75,2023/11/08 04:43,15357.5,15368.5,0.011396382462595445,0.7000000000000002
35,ma60 dead cross,2023/11/16 00:11,15857.0,2023/11/16 04:11,15857.75,15873.25,0.004729772340291353,-1.2999999999999998
36,important position stop loss 15836.763,2023/11/16 05:31,15868.5,2023/11/16 07:12,15833.0,15871.5,-0.22371364653243847,-73.8
37,retrace from max 28.285714285714285,2023/11/20 09:36,15973.0,2023/11/20 15:51,16087.75,16116.75,0.7183997996619295,226.7
38,ma60 dead cross,2023/11/22 03:16,15973.5,2023/11/22 04:08,15976.0,15981.75,0.015650921839296335,2.2
39,important position stop loss 15944.5,2023/12/04 03:41,15987.25,2023/12/04 06:56,15943.5,16003.25,-0.2736555692817714,-90.3
40,important position stop loss 15825.5,2023/12/04 12:46,15859.75,2023/12/04 13:28,15824.5,15868.25,-0.22226075442551113,-73.3
41,important position stop loss 16426.581,2024/01/08 02:16,16459.5,2024/01/08 03:57,16425.5,16459.5,-0.2065676357118989,-70.8
